timestamp,tekst_oryginalny,frazy_kluczowe,znalezione_frazy,ilosc_wszystkich,wyniki_spacy,wyniki_gpt,statystyki,wyniki
2025-01-06 05:11:39,test,test,"{""test"": 1}",1.0,,,,
2025-01-06 05:45:09,test,test,,,"{""test"": 1}","{""test"": [{""fragment"": ""test"", ""typ"": ""dokładne""}]}","{""total_spacy_matches"": 1, ""total_gpt_variants"": 1, ""match_types"": {""dokładne"": 1, ""odmiana"": 0, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 0}}",
2025-01-06 05:45:29,test,test,,,"{""test"": 1}","{""test"": [{""fragment"": ""test"", ""typ"": ""dokładne""}]}","{""total_spacy_matches"": 1, ""total_gpt_variants"": 1, ""match_types"": {""dokładne"": 1, ""odmiana"": 0, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 0}}",
2025-01-06 06:16:13,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:17:53,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:19:28,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:21:37,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:23:15,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:24:18,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:25:33,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""jednokolorowe zielone doniczki"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 1, ""zmieniona_kolejność"": 1, ""rozszerzone"": 1}}",
